 	U+0020 (alt-032)	SPACE
æ  	U+00E6 (alt-0230)	LATIN SMALL LETTER AE = latin small ligature ae = ash (from Old English æsc)
ç  	U+00E7 (alt-0231)	LATIN SMALL LETTER C WITH CEDILLA
è  	U+00E8 (alt-0232)	LATIN SMALL LETTER E WITH GRAVE
é  	U+00E9 (alt-0233)	LATIN SMALL LETTER E WITH ACUTE
ê  	U+00EA (alt-0234)	LATIN SMALL LETTER E WITH CIRCUMFLEX
ë  	U+00EB (alt-0235)	LATIN SMALL LETTER E WITH DIAERESIS
ì  	U+00EC (alt-0236)	LATIN SMALL LETTER I WITH GRAVE
í  	U+00ED (alt-0237)	LATIN SMALL LETTER I WITH ACUTE
î  	U+00EE (alt-0238)	LATIN SMALL LETTER I WITH CIRCUMFLEX
ï  	U+00EF (alt-0239)	LATIN SMALL LETTER I WITH DIAERESIS
ð  	U+00F0 (alt-0240)	LATIN SMALL LETTER ETH
ñ  	U+00F1 (alt-0241)	LATIN SMALL LETTER N WITH TILDE
ò  	U+00F2 (alt-0242)	LATIN SMALL LETTER O WITH GRAVE
ó  	U+00F3 (alt-0243)	LATIN SMALL LETTER O WITH ACUTE
ô  	U+00F4 (alt-0244)	LATIN SMALL LETTER O WITH CIRCUMFLEX
õ  	U+00F5 (alt-0245)	LATIN SMALL LETTER O WITH TILDE
ö  	U+00F6 (alt-0246)	LATIN SMALL LETTER O WITH DIAERESIS
ø  	U+00F8 (alt-0248)	LATIN SMALL LETTER O WITH STROKE = o slash
ù  	U+00F9 (alt-0249)	LATIN SMALL LETTER U WITH GRAVE
ú  	U+00FA (alt-0250)	LATIN SMALL LETTER U WITH ACUTE
û  	U+00FB (alt-0251)	LATIN SMALL LETTER U WITH CIRCUMFLEX
ü  	U+00FC (alt-0252)	LATIN SMALL LETTER U WITH DIAERESIS
ý  	U+00FD (alt-0253)	LATIN SMALL LETTER Y WITH ACUTE
þ  	U+00FE (alt-0254)	LATIN SMALL LETTER THORN
ÿ  	U+00FF (alt-0255)	LATIN SMALL LETTER Y WITH DIAERESIS
Ł  	U+0141 (alt-0321)	LATIN CAPITAL LETTER L WITH STROKE
ł  	U+0142 (alt-0322)	LATIN SMALL LETTER L WITH STROKE
Ń  	U+0143 (alt-0323)	LATIN CAPITAL LETTER N WITH ACUTE
ń  	U+0144 (alt-0324)	LATIN SMALL LETTER N WITH ACUTE
Ņ  	U+0145 (alt-0325)	LATIN CAPITAL LETTER N WITH CEDILLA
ņ  	U+0146 (alt-0326)	LATIN SMALL LETTER N WITH CEDILLA
Ň  	U+0147 (alt-0327)	LATIN CAPITAL LETTER N WITH CARON
ň  	U+0148 (alt-0328)	LATIN SMALL LETTER N WITH CARON
Ŋ  	U+014A (alt-0330)	LATIN CAPITAL LETTER ENG
ŋ  	U+014B (alt-0331)	LATIN SMALL LETTER ENG = engma, angma
Ō  	U+014C (alt-0332)	LATIN CAPITAL LETTER O WITH MACRON
ō  	U+014D (alt-0333)	LATIN SMALL LETTER O WITH MACRON
Ŏ  	U+014E (alt-0334)	LATIN CAPITAL LETTER O WITH BREVE
ŏ  	U+014F (alt-0335)	LATIN SMALL LETTER O WITH BREVE
Ő  	U+0150 (alt-0336)	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
ő  	U+0151 (alt-0337)	LATIN SMALL LETTER O WITH DOUBLE ACUTE
Œ  	U+0152 (alt-0338)	LATIN CAPITAL LIGATURE OE
œ  	U+0153 (alt-0339)	LATIN SMALL LIGATURE OE = ethel (from Old English)
Ŕ  	U+0154 (alt-0340)	LATIN CAPITAL LETTER R WITH ACUTE
ŕ  	U+0155 (alt-0341)	LATIN SMALL LETTER R WITH ACUTE
Ŗ  	U+0156 (alt-0342)	LATIN CAPITAL LETTER R WITH CEDILLA
ŗ  	U+0157 (alt-0343)	LATIN SMALL LETTER R WITH CEDILLA
Ř  	U+0158 (alt-0344)	LATIN CAPITAL LETTER R WITH CARON
ř  	U+0159 (alt-0345)	LATIN SMALL LETTER R WITH CARON
Ś  	U+015A (alt-0346)	LATIN CAPITAL LETTER S WITH ACUTE
ś  	U+015B (alt-0347)	LATIN SMALL LETTER S WITH ACUTE
Ŝ  	U+015C (alt-0348)	LATIN CAPITAL LETTER S WITH CIRCUMFLEX
ŝ  	U+015D (alt-0349)	LATIN SMALL LETTER S WITH CIRCUMFLEX
Ş  	U+015E (alt-0350)	LATIN CAPITAL LETTER S WITH CEDILLA
ş  	U+015F (alt-0351)	LATIN SMALL LETTER S WITH CEDILLA
Š  	U+0160 (alt-0352)	LATIN CAPITAL LETTER S WITH CARON
š  	U+0161 (alt-0353)	LATIN SMALL LETTER S WITH CARON
Ţ  	U+0162 (alt-0354)	LATIN CAPITAL LETTER T WITH CEDILLA
ţ  	U+0163 (alt-0355)	LATIN SMALL LETTER T WITH CEDILLA
Ť  	U+0164 (alt-0356)	LATIN CAPITAL LETTER T WITH CARON
ť  	U+0165 (alt-0357)	LATIN SMALL LETTER T WITH CARON
Ŧ  	U+0166 (alt-0358)	LATIN CAPITAL LETTER T WITH STROKE
ŧ  	U+0167 (alt-0359)	LATIN SMALL LETTER T WITH STROKE
Ũ  	U+0168 (alt-0360)	LATIN CAPITAL LETTER U WITH TILDE
ũ  	U+0169 (alt-0361)	LATIN SMALL LETTER U WITH TILDE
Ū  	U+016A (alt-0362)	LATIN CAPITAL LETTER U WITH MACRON
ū  	U+016B (alt-0363)	LATIN SMALL LETTER U WITH MACRON
Ŭ  	U+016C (alt-0364)	LATIN CAPITAL LETTER U WITH BREVE
ŭ  	U+016D (alt-0365)	LATIN SMALL LETTER U WITH BREVE
Ů  	U+016E (alt-0366)	LATIN CAPITAL LETTER U WITH RING ABOVE
ů  	U+016F (alt-0367)	LATIN SMALL LETTER U WITH RING ABOVE
Ű  	U+0170 (alt-0368)	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
ű  	U+0171 (alt-0369)	LATIN SMALL LETTER U WITH DOUBLE ACUTE
Ŵ  	U+0174 (alt-0372)	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
ŵ  	U+0175 (alt-0373)	LATIN SMALL LETTER W WITH CIRCUMFLEX
Ŷ  	U+0176 (alt-0374)	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
ŷ  	U+0177 (alt-0375)	LATIN SMALL LETTER Y WITH CIRCUMFLEX
Ÿ  	U+0178 (alt-0376)	LATIN CAPITAL LETTER Y WITH DIAERESIS
Ź  	U+0179 (alt-0377)	LATIN CAPITAL LETTER Z WITH ACUTE
ź  	U+017A (alt-0378)	LATIN SMALL LETTER Z WITH ACUTE
Ż  	U+017B (alt-0379)	LATIN CAPITAL LETTER Z WITH DOT ABOVE
ż  	U+017C (alt-0380)	LATIN SMALL LETTER Z WITH DOT ABOVE
Ž  	U+017D (alt-0381)	LATIN CAPITAL LETTER Z WITH CARON
ž  	U+017E (alt-0382)	LATIN SMALL LETTER Z WITH CARON
ſ  	U+017F (alt-0383)	LATIN SMALL LETTER LONG S
Α  	U+0391 (alt-0913)	GREEK CAPITAL LETTER ALPHA
Β  	U+0392 (alt-0914)	GREEK CAPITAL LETTER BETA
Γ  	U+0393 (alt-0915)	GREEK CAPITAL LETTER GAMMA = gamma function
Δ  	U+0394 (alt-0916)	GREEK CAPITAL LETTER DELTA
Ε  	U+0395 (alt-0917)	GREEK CAPITAL LETTER EPSILON
Ζ  	U+0396 (alt-0918)	GREEK CAPITAL LETTER ZETA
Η  	U+0397 (alt-0919)	GREEK CAPITAL LETTER ETA
Θ  	U+0398 (alt-0920)	GREEK CAPITAL LETTER THETA
Ι  	U+0399 (alt-0921)	GREEK CAPITAL LETTER IOTA = iota adscript
Κ  	U+039A (alt-0922)	GREEK CAPITAL LETTER KAPPA
Λ  	U+039B (alt-0923)	GREEK CAPITAL LETTER LAMDA
Μ  	U+039C (alt-0924)	GREEK CAPITAL LETTER MU
Ν  	U+039D (alt-0925)	GREEK CAPITAL LETTER NU
Ξ  	U+039E (alt-0926)	GREEK CAPITAL LETTER XI
Ο  	U+039F (alt-0927)	GREEK CAPITAL LETTER OMICRON
Π  	U+03A0 (alt-0928)	GREEK CAPITAL LETTER PI
